"","data_criacao","e_sobre_a_empresa","id","text","usuario"
"0","Sun Apr 21 14:39:56 +0000 2019","","1119974050590330880","rt @sasa_crf: @butecodt provocações entre clubes e jogadores; comemoração de gol com a torcida (sem tomar cartão); e com os reservas dentro…","Sasá Cuéllar Balzary ⚽🎶📚"
"1","Sun Apr 21 14:39:34 +0000 2019","","1119973958084898817","@butecodt provocações entre clubes e jogadores; comemoração de gol com a torcida (sem tomar cartão); e com os reservas dentro de campo; salários de jogadores dentro da realidade; cachorro invadindo campo; sem torcida única; sem violência, mas com rivalidade sadia","Sasá Cuéllar Balzary ⚽🎶📚"
"2","Sun Apr 21 14:26:11 +0000 2019","","1119970590943797248","""em uma sociedade sadia e normal as pessoas podem discordar, podem até ter pontos de vista diametralmente op..."" — https://t.co/ijqmtcuyl6","Calebe Henrique"
