"data_criacao","id","text","usuario"
"Sun Apr 21 16:32:46 +0000 2019","1120002446900772864","@taliriapetrone bom dia, a condição de doente, faminto e prostituta, não é a condição sadia do ser humano, jesus curou os doentes, alimentou os famintos e perdoou a mulher adúltera, que se convencionou a chamar de prostituta. jesus anunciou a todos a boa nova, que temos um pai amoroso, que nos","Gilberto Andrade"
"Sun Apr 21 16:28:59 +0000 2019","1120001493715890176","lasanha pronta da sadia , de leii","Pakistano🇵🇰"
"Sun Apr 21 16:26:14 +0000 2019","1120000801609527297","@paulo_nunes8 @estebantavares toda a corneta sadia é valida mas os tem áudios que é fora da realidade nem em buteco se escuta tanta bobagens falta empatia da parte de vocês com o ser humano,não interessa a cor que torce,o bom disso tudo é que tem plataforma alternativas.","Veri1903"
"Sun Apr 21 16:21:50 +0000 2019","1119999693520560128","rt @marcooosjrcrf: @denunciaflatt ""crianças que se foram por negligência"".
fico me perguntando como uma pessoa consegue ser tão alienada, o…","Denuncia CRF"
"Sun Apr 21 16:21:13 +0000 2019","1119999539543461889","@hirai_momovick @nilmoretto a condição expressa um ideal normativo: o ideal é que você se ame para poder amar as outras pessoas para que seja uma relação sadia e sincera. se você não se ama fica o conselho da nilce: busque resolver este problema.","Darlley Brito"
"Sun Apr 21 16:18:59 +0000 2019","1119998977942982656","@jogosspfc não sei como conseguem levar isso a série. zero maldade. apenas provocação sadia, normal.","Lorenzo"
"Sun Apr 21 16:17:27 +0000 2019","1119998591295197186","rt @stephieborges: se teve uma coisa que a vida dentro das editoras me ensinou é que a precisa se ver e se entender como mediador de leitur…","Clarice França"
"Sun Apr 21 16:10:17 +0000 2019","1119996788470112257","@l_nogueiraaa @jeterrfilho_ nogueira,,,,,,, eu n sei amigo, mas foi sadia a play","zozoquinhacraft"
"Sun Apr 21 16:10:17 +0000 2019","1119996788470112257","@l_nogueiraaa @jeterrfilho_ nogueira,,,,,,, eu n sei amigo, mas foi sadia a play","zozoquinhacraft"
"Sun Apr 21 15:46:39 +0000 2019","1119990838766055424","rt @stephieborges: se teve uma coisa que a vida dentro das editoras me ensinou é que a precisa se ver e se entender como mediador de leitur…","Sofia Soter"
"Sun Apr 21 15:44:41 +0000 2019","1119990345280966656","e por um instante a vida sadia que levara até agora pareceu-lhe um modo moralmente louco de viver. - clarice lispector https://t.co/p989xwtobr","Felipe Schiavon"
"Sun Apr 21 15:40:54 +0000 2019","1119989393920528385","@rafacapoci isso!!! as bisha se acha o último cu da terra. o pior é que vc não pode ter nem uma conversa sadia por conta dessas cosias, pq sexualizam tudo. e ficam putas quando vc dá um fora.","OjerizaCompulsiva"
"Sun Apr 21 15:22:12 +0000 2019","1119984686485397505","rt @taianefmg: @yanziinhojr crlh que sadia logo cedo kkkkkkk","Insta: Yanziinhojr10"
"Sun Apr 21 15:17:10 +0000 2019","1119983420606746625","@yanziinhojr crlh que sadia logo cedo kkkkkkk","Azevedo Tai 💛"
"Sun Apr 21 15:08:17 +0000 2019","1119981185411821573","vo comer lasanha da sadia pois a preguiça de cozinhar algo eh grande","fofa&abusada"
"Sun Apr 21 14:55:10 +0000 2019","1119977883102011392","aquele queijo que ja tava uma semana que tava  grudado
parecia até gorgonzola
e o presunto aquele presuntão não o presunto sadia não rapai
cês tão de sacanagem
vocês não corre
pa n falar outra coisa p eu não tomar processo por causa do cês","t-bag"
"Sun Apr 21 14:54:32 +0000 2019","1119977723089301504","maneiro que o plástico da lasanha @sadia nunca sai inteiro. quero ver a hora que eu pegar uma doença por comer lasanha com plástico derretido;","Thiago França"
"Sun Apr 21 14:50:31 +0000 2019","1119976712429801473","@nukkafan s de sadia kkkkk","Araujou"
"Sun Apr 21 14:39:56 +0000 2019","1119974050590330880","rt @sasa_crf: @butecodt provocações entre clubes e jogadores; comemoração de gol com a torcida (sem tomar cartão); e com os reservas dentro…","Sasá Cuéllar Balzary ⚽🎶📚"
"Sun Apr 21 14:39:34 +0000 2019","1119973958084898817","@butecodt provocações entre clubes e jogadores; comemoração de gol com a torcida (sem tomar cartão); e com os reservas dentro de campo; salários de jogadores dentro da realidade; cachorro invadindo campo; sem torcida única; sem violência, mas com rivalidade sadia","Sasá Cuéllar Balzary ⚽🎶📚"
"Sun Apr 21 14:26:11 +0000 2019","1119970590943797248","""em uma sociedade sadia e normal as pessoas podem discordar, podem até ter pontos de vista diametralmente op..."" — https://t.co/ijqmtcuyl6","Calebe Henrique"
"Sun Apr 21 12:43:06 +0000 2019","1119944647403503617","rt @admirljunior: @marciowestin @paulatuono @mitags @mjmacul_lima @brunifaiadd @j_damassa @assumpcad @pankeka @marcelo12755237 @jualoeblein…","JOSEPH.D.A.NETO-2022"
